disasterNumber,declarationDate,incidentType,pwNumber,applicationTitle,applicantId,damageCategoryCode,damageCategoryDescrip,projectStatus,projectProcessStep,projectSize,county,countyCode,stateAbbreviation,stateNumberCode,projectAmount,federalShareObligated,totalObligated,lastObligationDate,firstObligationDate,mitigationAmount,gmProjectId,gmApplicantId,lastRefresh,hash
4856,2025-01-08T00:00:00.000Z,Wildfire,795,Roof Repairs,037-UB9Q1-00,E,Buildings and Equipment,Active,Obligated,Small,Los Angeles County,37,CA,6,5485.0,4113.75,4113.75,2026-01-23T18:15:48.000Z,2026-01-23T18:15:48.000Z,0.0,953954,233977,2026-01-24T15:06:25.771Z,aa2fd53c90f064f9526867822bd55c9ee24739dc
4856,2025-01-08T00:00:00.000Z,Wildfire,1046,City of Long Beach - City Wide Debris Removal 100% Fed Share (3/3/2025 - 8/29/25) ,037-43000-00,A,Debris Removal,Active,Obligated,Small,Los Angeles County,37,CA,6,2886.5,2886.5,2886.5,2026-01-23T18:15:50.000Z,2026-01-23T18:15:50.000Z,0.0,966221,233732,2026-01-24T15:06:25.771Z,41af3de28e6f980cce50b4f6a4cd0a4aac37b1c9
4856,2025-01-08T00:00:00.000Z,Wildfire,247,Maintenance of Way Signal Repairs,037-UOFGQ-00,C,Roads and Bridges,Active,Obligated,Small,Los Angeles County,37,CA,6,68366.7,51275.03,51275.03,2026-01-26T19:15:32.000Z,2026-01-26T19:15:32.000Z,0.0,950515,233733,2026-01-27T15:04:56.733Z,7ceb82b76680ab538405cb02080d4e825f98b057
4856,2025-01-08T00:00:00.000Z,Wildfire,1057,Management Costs,037-66140-00,Z,Management Costs,Active,Obligated,Small,Los Angeles County,37,CA,6,1100.38,1100.38,1100.38,2026-01-26T19:15:33.000Z,2026-01-26T19:15:33.000Z,0.0,966774,234014,2026-01-27T15:04:56.733Z,dc655b8a0faba76630290e013c30351eab6f834b
4856,2025-01-08T00:00:00.000Z,Wildfire,932,Relocation of Saint Marks Students,037-UKW77-00,B,Emergency Protective Measures,Active,Obligated,Small,Los Angeles County,37,CA,6,25000.0,25000.0,25000.0,2026-01-27T20:16:00.000Z,2026-01-27T20:16:00.000Z,0.0,958624,234006,2026-01-28T15:04:46.629Z,4f02577f4403667ccefff9c40320e01339e9dbe3
4856,2025-01-08T00:00:00.000Z,Wildfire,520,DR4856-CA - LA County - Fire Department - Will Rogers (2) Lifeguard Towers Completely Burned,037-99037-00,G,"Parks, Recreational Facilities, and Other Items",Active,Obligated,Small,Los Angeles County,37,CA,6,124667.89,93500.92,93500.92,2026-01-29T19:16:51.000Z,2026-01-29T19:16:51.000Z,0.0,952806,233906,2026-01-30T15:05:33.886Z,2224db45d43e91e6d460673bfff91c447b0a1a9b
4856,2025-01-08T00:00:00.000Z,Wildfire,908,Damaged pipeline and transformer repair,037-24306-00,F,Utilities,Active,Obligated,Small,Los Angeles County,37,CA,6,36747.91,27560.94,27560.94,2026-01-29T19:16:53.000Z,2026-01-29T19:16:53.000Z,0.0,957545,234024,2026-01-30T15:05:33.886Z,f8fdf483eeb552aee33b0d3dc4c6fdf41596fe33
4856,2025-01-08T00:00:00.000Z,Wildfire,914,PW - MASH building at CDC ,037-56000-00,E,Buildings and Equipment,Active,Obligated,Small,Los Angeles County,37,CA,6,23331.47,17498.61,17498.61,2026-01-30T22:15:21.000Z,2026-01-30T22:15:21.000Z,0.0,957753,233629,2026-01-31T15:04:41.959Z,aca7d60e3047ce9fca8c897e13e737eae2691200
4856,2025-01-08T00:00:00.000Z,Wildfire,723,Roof- Debris Removal ,037-56000-00,A,Debris Removal,Active,Obligated,Small,Los Angeles County,37,CA,6,39585.0,29688.75,29688.75,2026-01-30T22:15:17.000Z,2026-01-30T22:15:17.000Z,0.0,953618,233629,2026-01-31T15:04:41.959Z,5d97d64e5639bd4f9d569f53561f818cfdf905e2
4856,2025-01-08T00:00:00.000Z,Wildfire,601,DR4856-CA - LA County - DBH - Coastline Parking Lot and View Deck Repair,037-99037-00,E,Buildings and Equipment,Active,Obligated,Small,Los Angeles County,37,CA,6,63978.8,47984.1,47984.1,2026-01-30T22:15:15.000Z,2026-01-30T22:15:15.000Z,0.0,953029,233906,2026-01-31T15:04:41.959Z,d4277c5178c6809d46419ac0b4c0b1d57302af68
